Designator,Mid X,Mid Y,Layer,Rotation
ACCESSORY,10.79,29.21,Top,0.0
ACCESSORY_GPIO,10.79,21.59,Top,0.0
APA102,110.49,184.78,Top,0.0
C1,83.19,31.75,Top,0.0
C2,99.06,17.78,Top,180.0
C3,48.26,10.79,Top,0.0
C4,99.06,20.32,Top,180.0
C5,99.06, 5.08,Top,0.0
C6,109.22,20.32,Top,180.0
C7,19.69,83.19,Top,180.0
C8,135.25,83.19,Top,180.0
C9,85.73,83.19,Top,180.0
C10,102.23,83.19,Top,180.0
C11,52.71,83.19,Top,180.0
C12,119.38,83.19,Top,180.0
C13,69.22,83.19,Top,180.0
C14,154.94,175.26,Top,90.0
C15,147.32,175.26,Top,90.0
C16,139.70,175.26,Top,90.0
C17,132.08,175.26,Top,90.0
C18,124.46,175.26,Top,90.0
C19,116.84,175.26,Top,90.0
C20,109.22,175.26,Top,90.0
C21,101.60,175.26,Top,90.0
C22,93.98,175.26,Top,90.0
C23,86.36,175.26,Top,90.0
C24,78.74,175.26,Top,90.0
C25,71.12,175.26,Top,90.0
C26,10.16,175.26,Top,90.0
C27,17.78,175.26,Top,90.0
C28,25.40,175.26,Top,90.0
C29,33.02,175.26,Top,90.0
C30,40.64,175.26,Top,90.0
C31,48.26,175.26,Top,90.0
C32,55.88,175.26,Top,90.0
C33,63.50,175.26,Top,90.0
C34,36.20,83.19,Top,180.0
C35,109.22,17.78,Top,180.0
C36,109.22, 5.08,Top,0.0
C37,154.94,116.21,Top,270.0
C38,154.94,120.02,Top,270.0
C39,154.94,123.83,Top,270.0
C40,154.94,127.64,Top,270.0
C41,147.32,116.21,Top,270.0
C42,147.32,120.02,Top,270.0
C43,147.32,123.83,Top,270.0
C44,147.32,127.64,Top,270.0
C45,139.70,116.21,Top,270.0
C46,139.70,120.02,Top,270.0
C47,139.70,123.83,Top,270.0
C48,139.70,127.64,Top,270.0
C49,132.08,116.21,Top,270.0
C50,132.08,120.02,Top,270.0
C51,132.08,123.83,Top,270.0
C52,132.08,127.64,Top,270.0
C53,124.46,116.21,Top,270.0
C54,124.46,120.02,Top,270.0
C55,124.46,123.83,Top,270.0
C56,124.46,127.64,Top,270.0
C57,116.84,116.21,Top,270.0
C58,116.84,120.02,Top,270.0
C59,116.84,123.83,Top,270.0
C60,116.84,127.64,Top,270.0
C61,109.22,116.21,Top,270.0
C62,109.22,120.02,Top,270.0
C63,109.22,123.83,Top,270.0
C64,109.22,127.64,Top,270.0
C65,101.60,116.21,Top,270.0
C66,101.60,120.02,Top,270.0
C67,101.60,123.83,Top,270.0
C68,101.60,127.64,Top,270.0
C69,151.13,56.52,Top,270.0
C70,151.13,71.12,Top,270.0
C71,136.53,56.52,Top,270.0
C72,136.53,71.12,Top,270.0
C73,93.98,116.21,Top,270.0
C74,93.98,120.02,Top,270.0
C75,93.98,123.83,Top,270.0
C76,93.98,127.64,Top,270.0
C77,86.36,116.21,Top,270.0
C78,86.36,120.02,Top,270.0
C79,86.36,123.83,Top,270.0
C80,86.36,127.64,Top,270.0
C81,78.74,116.21,Top,270.0
C82,78.74,120.02,Top,270.0
C83,78.74,123.83,Top,270.0
C84,78.74,127.64,Top,270.0
C85,71.12,116.21,Top,270.0
C86,71.12,120.02,Top,270.0
C87,71.12,123.83,Top,270.0
C88,71.12,127.64,Top,270.0
C89,136.53,41.91,Top,270.0
C90,151.13,41.91,Top,270.0
C93,63.50,116.21,Top,270.0
C94,63.50,120.02,Top,270.0
C95,63.50,123.83,Top,270.0
C96,63.50,127.64,Top,270.0
C97,48.26,116.21,Top,270.0
C98,48.26,120.02,Top,270.0
C99,48.26,123.83,Top,270.0
C100,48.26,127.64,Top,270.0
C101,55.88,116.21,Top,270.0
C102,55.88,120.02,Top,270.0
C103,55.88,123.83,Top,270.0
C104,55.88,127.64,Top,270.0
C105,40.64,116.21,Top,270.0
C106,40.64,120.02,Top,270.0
C107,40.64,123.83,Top,270.0
C108,40.64,127.64,Top,270.0
C109,33.02,116.21,Top,270.0
C110,33.02,120.02,Top,270.0
C111,33.02,123.83,Top,270.0
C112,33.02,127.64,Top,270.0
C113,25.40,116.21,Top,270.0
C114,25.40,120.02,Top,270.0
C115,25.40,123.83,Top,270.0
C116,25.40,127.64,Top,270.0
C117,17.78,116.21,Top,270.0
C118,17.78,120.02,Top,270.0
C119,17.78,123.83,Top,270.0
C120,17.78,127.64,Top,270.0
C121,10.16,116.21,Top,270.0
C122,10.16,120.02,Top,270.0
C123,10.16,123.83,Top,270.0
C124,10.16,127.64,Top,270.0
C125,20.32,12.07,Top,0.0
C126,50.80,185.42,Top,90.0
C127,48.26,185.42,Top,90.0
C130,44.45,45.72,Top,0.0
D1,59.05,116.21,Top,90.0
D2,150.50,116.21,Top,90.0
D3,150.50,120.02,Top,90.0
D4,150.50,123.83,Top,90.0
D5,150.50,127.64,Top,90.0
D6,142.88,116.21,Top,90.0
D7,142.88,120.02,Top,90.0
D8,142.88,123.83,Top,90.0
D9,142.88,127.64,Top,90.0
D10,135.25,116.21,Top,90.0
D11,135.25,120.02,Top,90.0
D12,135.25,123.83,Top,90.0
D13,135.25,127.64,Top,90.0
D14,127.64,116.21,Top,90.0
D15,127.64,120.02,Top,90.0
D16,127.64,123.83,Top,90.0
D17,127.64,127.64,Top,90.0
D18,120.02,116.21,Top,90.0
D19,120.02,120.02,Top,90.0
D20,120.02,123.83,Top,90.0
D21,120.02,127.64,Top,90.0
D22,112.40,116.21,Top,90.0
D23,112.40,120.02,Top,90.0
D24,112.40,123.83,Top,90.0
D25,112.40,127.64,Top,90.0
D26,104.78,116.21,Top,90.0
D27,104.78,120.02,Top,90.0
D28,104.78,123.83,Top,90.0
D29,104.78,127.64,Top,90.0
D30,97.16,116.21,Top,90.0
D31,97.16,120.02,Top,90.0
D32,97.16,123.83,Top,90.0
D33,97.16,127.64,Top,90.0
D34,89.54,116.21,Top,90.0
D35,89.54,120.02,Top,90.0
D36,89.54,123.83,Top,90.0
D37,89.54,127.64,Top,90.0
D38,81.92,116.21,Top,90.0
D39,81.92,120.02,Top,90.0
D40,81.92,123.83,Top,90.0
D41,81.92,127.64,Top,90.0
D42,74.30,116.21,Top,90.0
D43,74.30,120.02,Top,90.0
D44,74.30,123.83,Top,90.0
D45,74.30,127.64,Top,90.0
D46,66.67,116.21,Top,90.0
D47,66.67,120.02,Top,90.0
D48,66.67,123.83,Top,90.0
D49,66.67,127.64,Top,90.0
D50,59.05,120.02,Top,90.0
D51,59.05,123.83,Top,90.0
D52,59.05,127.64,Top,90.0
D53,51.44,116.21,Top,90.0
D54,51.44,120.02,Top,90.0
D55,51.44,123.83,Top,90.0
D56,51.44,127.64,Top,90.0
D57,43.82,116.21,Top,90.0
D58,43.82,120.02,Top,90.0
D59,43.82,123.83,Top,90.0
D60,43.82,127.64,Top,90.0
D61,36.20,116.21,Top,90.0
D62,36.20,120.02,Top,90.0
D63,36.20,123.83,Top,90.0
D64,36.20,127.64,Top,90.0
D65,28.58,116.21,Top,90.0
D66,28.58,120.02,Top,90.0
D67,28.58,123.83,Top,90.0
D68,28.58,127.64,Top,90.0
D69,20.96,116.21,Top,90.0
D70,20.96,120.02,Top,90.0
D71,20.96,123.83,Top,90.0
D72,20.96,127.64,Top,90.0
D73,13.34,116.21,Top,90.0
D74,13.34,120.02,Top,90.0
D75,13.34,123.83,Top,90.0
D76,13.34,127.64,Top,90.0
D77, 5.71,116.21,Top,90.0
D78, 5.71,120.02,Top,90.0
D79, 5.71,123.83,Top,90.0
D80, 5.71,127.64,Top,90.0
D81,58.42,61.60,Top,180.0
D82,67.31,61.60,Top,180.0
D83,58.42,56.52,Top,180.0
D84,49.53,61.60,Top,180.0
D85,67.31,56.52,Top,180.0
D86,87.63,64.14,Top,180.0
D87,97.79,64.14,Top,180.0
D88,87.63,51.44,Top,180.0
D89,77.47,64.14,Top,180.0
D90,97.79,51.44,Top,180.0
D91,20.32, 9.53,Top,0.0
D92,20.32, 6.99,Top,0.0
D93,20.32, 4.45,Top,0.0
D94,20.32, 1.91,Top,0.0
D95,154.94,161.93,Top,90.0
D96,147.32,161.93,Top,90.0
D97,139.70,161.93,Top,90.0
D98,132.08,161.93,Top,90.0
D99,124.46,161.93,Top,90.0
D100,116.84,161.93,Top,90.0
D101,109.22,161.93,Top,90.0
D102,101.60,161.93,Top,90.0
D103,93.98,161.93,Top,90.0
D104,63.50,161.93,Top,90.0
D105,33.02,161.93,Top,90.0
D106,86.36,161.93,Top,90.0
D107,78.74,161.93,Top,90.0
D108,71.12,161.93,Top,90.0
D109,55.88,161.93,Top,90.0
D110,48.26,161.93,Top,90.0
D111,40.64,161.93,Top,90.0
D112,25.40,161.93,Top,90.0
D113,17.78,161.93,Top,90.0
D114,10.16,161.93,Top,90.0
D115,152.40,135.89,Top,0.0
D116,152.40,131.44,Top,0.0
D117,152.40,140.34,Top,0.0
D118,152.40,144.78,Top,0.0
D119,144.78,131.44,Top,0.0
D120,144.78,135.89,Top,0.0
D121,144.78,140.34,Top,0.0
D122,144.78,144.78,Top,0.0
D123,137.16,144.78,Top,0.0
D124,137.16,140.34,Top,0.0
D125,137.16,135.89,Top,0.0
D126,137.16,131.44,Top,0.0
D127,129.54,144.78,Top,0.0
D128,129.54,140.34,Top,0.0
D129,129.54,135.89,Top,0.0
D130,129.54,131.44,Top,0.0
D131,121.92,144.78,Top,0.0
D132,121.92,140.34,Top,0.0
D133,121.92,135.89,Top,0.0
D134,121.92,131.44,Top,0.0
D135,114.30,144.78,Top,0.0
D136,114.30,140.34,Top,0.0
D137,114.30,135.89,Top,0.0
D138,114.30,131.44,Top,0.0
D139,106.68,144.78,Top,0.0
D140,106.68,140.34,Top,0.0
D141,106.68,135.89,Top,0.0
D142,106.68,131.44,Top,0.0
D143,99.06,144.78,Top,0.0
D144,99.06,140.34,Top,0.0
D145,99.06,135.89,Top,0.0
D146,99.06,131.44,Top,0.0
D147,91.44,144.78,Top,0.0
D148,91.44,140.34,Top,0.0
D149,91.44,135.89,Top,0.0
D150,91.44,131.44,Top,0.0
D151,83.82,144.78,Top,0.0
D152,83.82,140.34,Top,0.0
D153,83.82,135.89,Top,0.0
D154,83.82,131.44,Top,0.0
D155,76.20,144.78,Top,0.0
D156,76.20,140.34,Top,0.0
D157,76.20,135.89,Top,0.0
D158,76.20,131.44,Top,0.0
D159,68.58,144.78,Top,0.0
D160,68.58,140.34,Top,0.0
D161,68.58,135.89,Top,0.0
D162,68.58,131.44,Top,0.0
D163,60.96,144.78,Top,0.0
D164,60.96,140.34,Top,0.0
D165,60.96,135.89,Top,0.0
D166,60.96,131.44,Top,0.0
D167,53.34,144.78,Top,0.0
D168,53.34,140.34,Top,0.0
D169,53.34,135.89,Top,0.0
D170,53.34,131.44,Top,0.0
D171,123.83,184.15,Top,270.0
D172,45.72,144.78,Top,0.0
D173,45.72,140.34,Top,0.0
D174,45.72,135.89,Top,0.0
D175,45.72,131.44,Top,0.0
D176,38.10,144.78,Top,0.0
D177,38.10,140.34,Top,0.0
D178,38.10,135.89,Top,0.0
D179,38.10,131.44,Top,0.0
D180,30.48,144.78,Top,0.0
D181,30.48,140.34,Top,0.0
D182,30.48,135.89,Top,0.0
D183,30.48,131.44,Top,0.0
D184,22.86,144.78,Top,0.0
D185,22.86,140.34,Top,0.0
D186,22.86,135.89,Top,0.0
D187,22.86,131.44,Top,0.0
D188,15.24,144.78,Top,0.0
D189,15.24,140.34,Top,0.0
D190,15.24,135.89,Top,0.0
D191,15.24,131.44,Top,0.0
D192, 7.62,144.78,Top,0.0
D193, 7.62,140.34,Top,0.0
D194, 7.62,135.89,Top,0.0
D195, 7.62,131.44,Top,0.0
D196,118.75,184.15,Top,270.0
D197,102.23,184.15,Top,270.0
D198,27.30,41.91,Top,270.0
ESTOP,130.18,184.78,Top,0.0
ESTOP_2,140.34,184.15,Top,90.0
F1,142.24,14.61,Top,180.0
F2,142.24,19.69,Top,180.0
GAME_INTERFACE,85.73,184.78,Top,0.0
I2C, 9.53,36.83,Top,180.0
IC1,151.13,175.26,Top,180.0
IC2,99.06,10.16,Top,0.0
IC3,143.51,175.26,Top,180.0
IC4,135.89,175.26,Top,180.0
IC5,128.27,175.26,Top,180.0
IC6,120.65,175.26,Top,180.0
IC7,113.03,175.26,Top,180.0
IC8,105.41,175.26,Top,180.0
IC9,97.79,175.26,Top,180.0
IC10,90.17,175.26,Top,180.0
IC11,82.55,175.26,Top,180.0
IC12,74.93,175.26,Top,180.0
IC13,67.31,175.26,Top,180.0
IC14,59.69,175.26,Top,180.0
IC15,52.07,175.26,Top,180.0
IC16,44.45,175.26,Top,180.0
IC17,36.83,175.26,Top,180.0
IC18,29.21,175.26,Top,180.0
IC19,21.59,175.26,Top,180.0
IC20,13.97,175.26,Top,180.0
IC21, 6.35,175.26,Top,180.0
IC22,109.22,10.16,Top,90.0
J1,12.70,70.48,Top,90.0
JP2, 9.53,44.45,Top,0.0
JP3,67.95,184.78,Top,0.0
JP4,141.61, 8.26,Top,0.0
JTAG,10.79,52.07,Top,0.0
MIDI_IN,57.79,184.78,Top,0.0
NEBULA_A,139.06,93.98,Top,0.0
NEBULA_B,106.05,93.98,Top,0.0
NEBULA_C,89.54,93.98,Top,0.0
NEBULA_D,56.52,93.98,Top,0.0
NEBULA_E,23.50,93.98,Top,0.0
NEBULA_F,122.56,93.98,Top,0.0
NEBULA_G,73.03,93.98,Top,0.0
NEBULA_H,40.01,93.98,Top,0.0
POWER_IN,153.03,22.23,Top,270.0
R1,154.94,170.81,Top,270.0
R2,147.32,170.81,Top,270.0
R3,152.40,116.21,Top,270.0
R4,152.40,120.02,Top,270.0
R5,152.40,123.83,Top,270.0
R6,152.40,127.64,Top,270.0
R7,144.78,116.21,Top,270.0
R8,144.78,120.02,Top,270.0
R9,144.78,123.83,Top,270.0
R10,144.78,127.64,Top,270.0
R11,137.16,116.21,Top,270.0
R12,137.16,120.02,Top,270.0
R13,137.16,123.83,Top,270.0
R14,137.16,127.64,Top,270.0
R15,129.54,116.21,Top,270.0
R16,129.54,120.02,Top,270.0
R17,129.54,123.83,Top,270.0
R18,129.54,127.64,Top,270.0
R19,121.92,116.21,Top,270.0
R20,121.92,120.02,Top,270.0
R21,121.92,123.83,Top,270.0
R22,121.92,127.64,Top,270.0
R23,114.30,116.21,Top,270.0
R24,114.30,120.02,Top,270.0
R25,114.30,123.83,Top,270.0
R26,72.39,11.43,Top,90.0
R27,80.01,11.43,Top,90.0
R28,114.30,127.64,Top,270.0
R29,106.68,116.21,Top,270.0
R30,106.68,120.02,Top,270.0
R31,106.68,123.83,Top,270.0
R32,106.68,127.64,Top,270.0
R33,99.06,116.21,Top,270.0
R34,99.06,120.02,Top,270.0
R35,99.06,123.83,Top,270.0
R36,99.06,127.64,Top,270.0
R37,91.44,116.21,Top,270.0
R38,91.44,120.02,Top,270.0
R39,91.44,123.83,Top,270.0
R40,91.44,127.64,Top,270.0
R41,83.82,116.21,Top,270.0
R42,83.82,120.02,Top,270.0
R43,83.82,123.83,Top,270.0
R44,83.82,127.64,Top,270.0
R45,76.20,116.21,Top,270.0
R46,76.20,120.02,Top,270.0
R47,76.20,123.83,Top,270.0
R48,76.20,127.64,Top,270.0
R49,68.58,116.21,Top,270.0
R50,68.58,120.02,Top,270.0
R51,68.58,123.83,Top,270.0
R52,68.58,127.64,Top,270.0
R53,60.96,116.21,Top,270.0
R54,154.94,167.00,Top,270.0
R55,147.32,167.00,Top,270.0
R56,139.70,167.00,Top,270.0
R57,132.08,167.00,Top,270.0
R58,124.46,167.00,Top,270.0
R59,116.84,167.00,Top,270.0
R60,109.22,167.00,Top,270.0
R61,101.60,167.00,Top,270.0
R62,93.98,167.00,Top,270.0
R63,86.36,167.00,Top,270.0
R64,78.74,167.00,Top,270.0
R65,71.12,167.00,Top,270.0
R66,60.96,120.02,Top,270.0
R67,135.89,184.15,Top,90.0
R68,147.32,184.15,Top,270.0
R69,60.96,123.83,Top,270.0
R70,60.96,127.64,Top,270.0
R71,53.34,116.21,Top,270.0
R72,53.34,120.02,Top,270.0
R73,53.34,123.83,Top,270.0
R74,53.34,127.64,Top,270.0
R75,45.72,116.21,Top,270.0
R76,45.72,120.02,Top,270.0
R77,45.72,123.83,Top,270.0
R78,45.72,127.64,Top,270.0
R79,38.10,116.21,Top,270.0
R80,38.10,120.02,Top,270.0
R81,38.10,123.83,Top,270.0
R82,38.10,127.64,Top,270.0
R83,63.50,167.00,Top,270.0
R84,55.88,167.00,Top,270.0
R85,48.26,167.00,Top,270.0
R86,40.64,167.00,Top,270.0
R87,30.48,116.21,Top,270.0
R88,30.48,120.02,Top,270.0
R89,30.48,123.83,Top,270.0
R90,30.48,127.64,Top,270.0
R91,22.86,116.21,Top,270.0
R92,22.86,120.02,Top,270.0
R93,22.86,123.83,Top,270.0
R94,22.86,127.64,Top,270.0
R95,15.24,116.21,Top,270.0
R96,15.24,120.02,Top,270.0
R97,15.24,123.83,Top,270.0
R98,15.24,127.64,Top,270.0
R99, 7.62,116.21,Top,270.0
R100, 7.62,120.02,Top,270.0
R101, 7.62,123.83,Top,270.0
R102, 7.62,127.64,Top,270.0
R103,33.02,167.00,Top,270.0
R104,25.40,167.00,Top,270.0
R105,17.78,167.00,Top,270.0
R106,10.16,167.00,Top,270.0
R107,139.70,170.81,Top,270.0
R108,132.08,170.81,Top,270.0
R109,124.46,170.81,Top,270.0
R110,116.84,170.81,Top,270.0
R111,109.22,170.81,Top,270.0
R112,101.60,170.81,Top,270.0
R113,93.98,170.81,Top,270.0
R114,86.36,170.81,Top,270.0
R115,78.74,170.81,Top,270.0
R116,71.12,170.81,Top,270.0
R117,63.50,170.81,Top,270.0
R118,55.88,170.81,Top,270.0
R119,48.26,170.81,Top,270.0
R120,40.64,170.81,Top,270.0
R121,33.02,170.81,Top,270.0
R122,25.40,170.81,Top,270.0
R123,17.78,170.81,Top,270.0
R124,10.16,170.81,Top,270.0
R125,54.61,61.60,Top,0.0
R126,63.50,61.60,Top,0.0
R127,54.61,56.52,Top,0.0
R128,63.50,56.52,Top,0.0
R129,45.72,61.60,Top,0.0
R130,16.51, 9.53,Top,180.0
R131,16.51, 6.99,Top,180.0
R132,16.51, 4.45,Top,180.0
R133,77.47,66.67,Top,0.0
R134,97.79,53.98,Top,0.0
R135,87.63,53.98,Top,0.0
R136,97.79,66.67,Top,0.0
R137,87.63,66.67,Top,0.0
R138,144.15,184.15,Top,270.0
R139,16.51, 1.91,Top,180.0
R140,154.94,156.84,Top,90.0
R141,154.94,153.03,Top,90.0
R142,154.94,149.22,Top,90.0
R143,152.40,149.22,Top,90.0
R144,147.32,156.84,Top,90.0
R145,147.32,153.03,Top,90.0
R146,147.32,149.22,Top,90.0
R147,144.78,149.22,Top,90.0
R148,139.70,156.84,Top,90.0
R149,139.70,153.03,Top,90.0
R150,139.70,149.22,Top,90.0
R151,137.16,149.22,Top,90.0
R152,132.08,156.84,Top,90.0
R153,132.08,153.03,Top,90.0
R154,132.08,149.22,Top,90.0
R155,129.54,149.22,Top,90.0
R156,124.46,156.84,Top,90.0
R157,124.46,153.03,Top,90.0
R158,124.46,149.22,Top,90.0
R159,121.92,149.22,Top,90.0
R160,116.84,156.84,Top,90.0
R161,116.84,153.03,Top,90.0
R162,116.84,149.22,Top,90.0
R163,114.30,149.22,Top,90.0
R164,109.22,156.84,Top,90.0
R165,109.22,153.03,Top,90.0
R166,109.22,149.22,Top,90.0
R167,106.68,149.22,Top,90.0
R168,101.60,156.84,Top,90.0
R169,101.60,153.03,Top,90.0
R170,101.60,149.22,Top,90.0
R171,99.06,149.22,Top,90.0
R172,93.98,156.84,Top,90.0
R173,93.98,153.03,Top,90.0
R174,93.98,149.22,Top,90.0
R175,91.44,149.22,Top,90.0
R176,86.36,156.84,Top,90.0
R177,86.36,153.03,Top,90.0
R178,86.36,149.22,Top,90.0
R179,83.82,149.22,Top,90.0
R180,78.74,156.84,Top,90.0
R181,78.74,153.03,Top,90.0
R182,78.74,149.22,Top,90.0
R183,76.20,149.22,Top,90.0
R184,71.12,156.84,Top,90.0
R185,71.12,153.03,Top,90.0
R186,71.12,149.22,Top,90.0
R187,68.58,149.22,Top,90.0
R188,63.50,156.84,Top,90.0
R189,63.50,153.03,Top,90.0
R190,63.50,149.22,Top,90.0
R191,60.96,149.22,Top,90.0
R192,48.26,156.84,Top,90.0
R193,55.88,156.84,Top,90.0
R194,55.88,153.03,Top,90.0
R195,55.88,149.22,Top,90.0
R196,53.34,149.22,Top,90.0
R197,48.26,153.03,Top,90.0
R198,48.26,149.22,Top,90.0
R199,45.72,149.22,Top,90.0
R200,40.64,156.84,Top,90.0
R201,40.64,153.03,Top,90.0
R202,40.64,149.22,Top,90.0
R203,38.10,149.22,Top,90.0
R204,33.02,156.84,Top,90.0
R205,33.02,153.03,Top,90.0
R206,33.02,149.22,Top,90.0
R207,30.48,149.22,Top,90.0
R208,25.40,156.84,Top,90.0
R209,25.40,153.03,Top,90.0
R210,25.40,149.22,Top,90.0
R211,22.86,149.22,Top,90.0
R212,17.78,156.84,Top,90.0
R213,17.78,153.03,Top,90.0
R214,17.78,149.22,Top,90.0
R215,15.24,149.22,Top,90.0
R216,10.16,156.84,Top,90.0
R217,10.16,153.03,Top,90.0
R218,10.16,149.22,Top,90.0
R219, 7.62,149.22,Top,90.0
R220,83.82,64.14,Top,0.0
R221,93.98,64.14,Top,0.0
R222,83.82,51.44,Top,0.0
R223,93.98,51.44,Top,0.0
R224,73.66,64.14,Top,0.0
R225,16.51,12.07,Top,180.0
R226,154.94,111.76,Top,90.0
R227,152.40,111.76,Top,90.0
R228,154.94,107.95,Top,90.0
R229,152.40,107.95,Top,90.0
R230,147.32,111.76,Top,90.0
R231,144.78,111.76,Top,90.0
R232,147.32,107.95,Top,90.0
R233,144.78,107.95,Top,90.0
R234,137.16,107.95,Top,90.0
R235,139.70,107.95,Top,90.0
R236,137.16,111.76,Top,90.0
R237,139.70,111.76,Top,90.0
R238,129.54,111.76,Top,90.0
R239,132.08,111.76,Top,90.0
R240,132.08,107.95,Top,90.0
R241,129.54,107.95,Top,90.0
R242,121.92,107.95,Top,90.0
R243,121.92,111.76,Top,90.0
R244,124.46,107.95,Top,90.0
R245,124.46,111.76,Top,90.0
R246,114.30,107.95,Top,90.0
R247,114.30,111.76,Top,90.0
R248,116.84,107.95,Top,90.0
R249,116.84,111.76,Top,90.0
R250,106.68,107.95,Top,90.0
R251,106.68,111.76,Top,90.0
R252,109.22,107.95,Top,90.0
R253,109.22,111.76,Top,90.0
R254,99.06,107.95,Top,90.0
R255,99.06,111.76,Top,90.0
R256,101.60,107.95,Top,90.0
R257,101.60,111.76,Top,90.0
R258,91.44,107.95,Top,90.0
R259,91.44,111.76,Top,90.0
R260,93.98,107.95,Top,90.0
R261,93.98,111.76,Top,90.0
R262,83.82,107.95,Top,90.0
R263,83.82,111.76,Top,90.0
R264,86.36,107.95,Top,90.0
R265,86.36,111.76,Top,90.0
R266,76.20,107.95,Top,90.0
R267,76.20,111.76,Top,90.0
R268,78.74,107.95,Top,90.0
R269,78.74,111.76,Top,90.0
R270,68.58,107.95,Top,90.0
R271,68.58,111.76,Top,90.0
R272,71.12,107.95,Top,90.0
R273,71.12,111.76,Top,90.0
R274,60.96,107.95,Top,90.0
R275,60.96,111.76,Top,90.0
R276,63.50,107.95,Top,90.0
R277,63.50,111.76,Top,90.0
R278,53.34,107.95,Top,90.0
R279,53.34,111.76,Top,90.0
R280,55.88,107.95,Top,90.0
R281,55.88,111.76,Top,90.0
R282,45.72,107.95,Top,90.0
R283,45.72,111.76,Top,90.0
R284,48.26,107.95,Top,90.0
R285,48.26,111.76,Top,90.0
R286,38.10,107.95,Top,90.0
R287,38.10,111.76,Top,90.0
R288,40.64,107.95,Top,90.0
R289,40.64,111.76,Top,90.0
R290,31.12,107.95,Top,90.0
R291,31.12,111.76,Top,90.0
R292,33.66,107.95,Top,90.0
R293,33.66,111.76,Top,90.0
R294,25.40,111.76,Top,90.0
R295,25.40,107.95,Top,90.0
R296,22.86,111.76,Top,90.0
R297,22.86,107.95,Top,90.0
R298,15.88,107.95,Top,90.0
R299,15.88,111.76,Top,90.0
R300,18.41,107.95,Top,90.0
R301,18.41,111.76,Top,90.0
R302, 7.62,107.95,Top,90.0
R303, 7.62,111.76,Top,90.0
R304,10.16,107.95,Top,90.0
R305,10.16,111.76,Top,90.0
R306,23.50,40.64,Top,0.0
R307,44.45,40.64,Top,0.0
R310,69.85,11.43,Top,270.0
S1,87.63,59.05,Top,0.0
S2,97.79,59.05,Top,0.0
S3,87.63,46.36,Top,0.0
S4,97.79,46.36,Top,0.0
S5,77.47,59.05,Top,0.0
STAR_1,150.50,161.29,Top,90.0
STAR_2,142.88,161.29,Top,90.0
STAR_3,135.25,161.29,Top,90.0
STAR_4,127.64,161.29,Top,90.0
STAR_5,120.02,161.29,Top,90.0
STAR_6,112.40,161.29,Top,90.0
STAR_7,104.78,161.29,Top,90.0
STAR_8,97.16,161.29,Top,90.0
STAR_9,89.54,161.29,Top,90.0
STAR_10,81.92,161.29,Top,90.0
STAR_11,74.30,161.29,Top,90.0
STAR_12,66.67,161.29,Top,90.0
STAR_13,59.05,161.29,Top,90.0
STAR_14,51.44,161.29,Top,90.0
STAR_15,43.82,161.29,Top,90.0
STAR_16,36.20,161.29,Top,90.0
STAR_17,28.58,161.29,Top,90.0
STAR_18,20.96,161.29,Top,90.0
STAR_19,13.34,161.29,Top,90.0
STAR_20, 5.71,161.29,Top,90.0
U$1,69.85,17.14,Top,0.0
U1,35.56,41.91,Top,0.0
ULN2,34.93,63.50,Top,270.0
